id;zone1_id;zone2_id;euclidean_distance
54578;1;2;23.0
54579;1;3;30.0
54580;1;4;41.0
54581;1;5;57.0
54582;1;6;64.0
54583;1;7;72.0
54584;1;8;82.0
54585;1;9;97.0
54586;1;10;106.0
54587;1;11;128.0
54588;1;12;130.0
54589;1;13;130.0
54590;1;14;106.0
54591;1;15;101.0
54592;1;16;95.0
54593;1;17;116.0
54594;1;18;81.0
54595;1;19;37.0
54596;1;20;100.0
54597;1;21;75.0
54598;1;22;15.0
54599;1;23;11.0
54600;1;24;19.0
54601;1;25;23.0
54602;1;26;28.0
54603;1;27;49.0
54604;1;28;51.0
54605;1;29;50.0
54606;1;30;51.0
54607;1;31;56.0
54608;1;32;64.0
54609;1;33;86.0
54610;1;34;83.0
54611;1;35;54.0
54612;1;36;32.0
54613;1;37;121.0
54614;1;38;94.0
54615;1;39;87.0
54616;1;40;130.0
54617;1;41;119.0
54618;1;42;125.0
54619;1;43;136.0
54620;1;44;94.0
54621;1;45;99.0
54622;1;46;100.0
54623;1;47;98.0
54624;1;48;91.0
54625;1;49;82.0
54626;1;50;79.0
54627;1;51;67.0
54628;1;52;55.0
54629;1;53;48.0
54630;1;54;40.0
54631;1;55;31.0
54632;1;56;27.0
54633;1;57;23.0
54634;1;58;16.0
54635;1;59;10.0
54636;1;60;8.0
54637;1;61;14.0
54638;1;62;20.0
54639;1;63;25.0
54640;1;64;21.0
54641;1;65;25.0
54642;1;66;62.0
54643;1;67;112.0
54644;1;68;104.0
54645;1;69;88.0
54646;2;1;23.0
54647;2;3;9.0
54648;2;4;23.0
54649;2;5;40.0
54650;2;6;47.0
54651;2;7;55.0
54652;2;8;64.0
54653;2;9;78.0
54654;2;10;87.0
54655;2;11;110.0
54656;2;12;115.0
54657;2;13;118.0
54658;2;14;97.0
54659;2;15;93.0
54660;2;16;86.0
54661;2;17;102.0
54662;2;18;67.0
54663;2;19;26.0
54664;2;20;89.0
54665;2;21;59.0
54666;2;22;11.0
54667;2;23;32.0
54668;2;24;35.0
54669;2;25;40.0
54670;2;26;49.0
54671;2;27;67.0
54672;2;28;65.0
54673;2;29;61.0
54674;2;30;59.0
54675;2;31;62.0
54676;2;32;69.0
54677;2;33;86.0
54678;2;34;75.0
54679;2;35;54.0
54680;2;36;40.0
54681;2;37;109.0
54682;2;38;86.0
54683;2;39;85.0
54684;2;40;114.0
54685;2;41;101.0
54686;2;42;106.0
54687;2;43;117.0
54688;2;44;74.0
54689;2;45;80.0
54690;2;46;83.0
54691;2;47;81.0
54692;2;48;75.0
54693;2;49;68.0
54694;2;50;62.0
54695;2;51;50.0
54696;2;52;39.0
54697;2;53;34.0
54698;2;54;23.0
54699;2;55;20.0
54700;2;56;13.0
54701;2;57;7.0
54702;2;58;8.0
54703;2;59;24.0
54704;2;60;29.0
54705;2;61;37.0
54706;2;62;40.0
54707;2;63;46.0
54708;2;64;36.0
54709;2;65;23.0
54710;2;66;52.0
54711;2;67;92.0
54712;2;68;88.0
54713;2;69;76.0
54714;3;1;30.0
54715;3;2;9.0
54716;3;4;13.0
54717;3;5;31.0
54718;3;6;38.0
54719;3;7;46.0
54720;3;8;54.0
54721;3;9;68.0
54722;3;10;78.0
54723;3;11;101.0
54724;3;12;106.0
54725;3;13;108.0
54726;3;14;88.0
54727;3;15;85.0
54728;3;16;78.0
54729;3;17;93.0
54730;3;18;58.0
54731;3;19;19.0
54732;3;20;80.0
54733;3;21;50.0
54734;3;22;20.0
54735;3;23;38.0
54736;3;24;38.0
54737;3;25;43.0
54738;3;26;53.0
54739;3;27;68.0
54740;3;28;65.0
54741;3;29;60.0
54742;3;30;57.0
54743;3;31;59.0
54744;3;32;66.0
54745;3;33;80.0
54746;3;34;68.0
54747;3;35;48.0
54748;3;36;39.0
54749;3;37;100.0
54750;3;38;78.0
54751;3;39;78.0
54752;3;40;104.0
54753;3;41;91.0
54754;3;42;96.0
54755;3;43;108.0
54756;3;44;65.0
54757;3;45;71.0
54758;3;46;73.0
54759;3;47;72.0
54760;3;48;66.0
54761;3;49;58.0
54762;3;50;52.0
54763;3;51;41.0
54764;3;52;30.0
54765;3;53;26.0
54766;3;54;14.0
54767;3;55;15.0
54768;3;56;8.0
54769;3;57;7.0
54770;3;58;17.0
54771;3;59;32.0
54772;3;60;35.0
54773;3;61;43.0
54774;3;62;44.0
54775;3;63;50.0
54776;3;64;39.0
54777;3;65;21.0
54778;3;66;44.0
54779;3;67;83.0
54780;3;68;78.0
54781;3;69;67.0
54782;4;1;41.0
54783;4;2;23.0
54784;4;3;13.0
54785;4;5;17.0
54786;4;6;24.0
54787;4;7;32.0
54788;4;8;41.0
54789;4;9;55.0
54790;4;10;65.0
54791;4;11;87.0
54792;4;12;92.0
54793;4;13;95.0
54794;4;14;75.0
54795;4;15;73.0
54796;4;16;66.0
54797;4;17;79.0
54798;4;18;44.0
54799;4;19;13.0
54800;4;20;67.0
54801;4;21;36.0
54802;4;22;32.0
54803;4;23;47.0
54804;4;24;45.0
54805;4;25;49.0
54806;4;26;60.0
54807;4;27;71.0
54808;4;28;66.0
54809;4;29;59.0
54810;4;30;55.0
54811;4;31;55.0
54812;4;32;61.0
54813;4;33;72.0
54814;4;34;56.0
54815;4;35;42.0
54816;4;36;40.0
54817;4;37;87.0
54818;4;38;66.0
54819;4;39;68.0
54820;4;40;91.0
54821;4;41;78.0
54822;4;42;83.0
54823;4;43;95.0
54824;4;44;52.0
54825;4;45;57.0
54826;4;46;60.0
54827;4;47;58.0
54828;4;48;52.0
54829;4;49;45.0
54830;4;50;39.0
54831;4;51;27.0
54832;4;52;16.0
54833;4;53;14.0
54834;4;54;4.0
54835;4;55;15.0
54836;4;56;14.0
54837;4;57;19.0
54838;4;58;30.0
54839;4;59;45.0
54840;4;60;44.0
54841;4;61;52.0
54842;4;62;52.0
54843;4;63;58.0
54844;4;64;44.0
54845;4;65;23.0
54846;4;66;33.0
54847;4;67;70.0
54848;4;68;65.0
54849;4;69;54.0
54850;5;1;57.0
54851;5;2;40.0
54852;5;3;31.0
54853;5;4;17.0
54854;5;6;7.0
54855;5;7;15.0
54856;5;8;25.0
54857;5;9;39.0
54858;5;10;48.0
54859;5;11;70.0
54860;5;12;74.0
54861;5;13;77.0
54862;5;14;59.0
54863;5;15;57.0
54864;5;16;50.0
54865;5;17;61.0
54866;5;18;27.0
54867;5;19;21.0
54868;5;20;51.0
54869;5;21;19.0
54870;5;22;49.0
54871;5;23;61.0
54872;5;24;57.0
54873;5;25;60.0
54874;5;26;72.0
54875;5;27;78.0
54876;5;28;71.0
54877;5;29;63.0
54878;5;30;57.0
54879;5;31;55.0
54880;5;32;58.0
54881;5;33;63.0
54882;5;34;42.0
54883;5;35;39.0
54884;5;36;47.0
54885;5;37;70.0
