location,date,b3001,b3002,b3003,b3004,b3005,b3006,b3007,b3008,b3009,b3010,b3011,b3012,b3013
O02,10-18-2016 11:15:21,-200,-200,-200,-200,-80,-80,-200,-200,-200,-200,-200,-200,-200
P02,10-18-2016 11:15:07,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
T01,10-18-2016 11:14:03,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
T01,10-18-2016 11:14:01,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
U01,10-18-2016 11:13:57,-200,-200,-88,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
U01,10-18-2016 11:13:55,-200,-200,-88,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
U01,10-18-2016 11:13:53,-200,-200,-88,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200
U01,10-18-2016 11:13:51,-200,-200,-88,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200
T03,10-18-2016 11:04:35,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
T03,10-18-2016 11:04:33,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
T03,10-18-2016 11:04:31,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
U05,10-18-2016 10:58:26,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200
U05,10-18-2016 10:58:24,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200
U05,10-18-2016 10:58:22,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
U05,10-18-2016 10:58:20,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
R06,10-18-2016 10:58:06,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200
R06,10-18-2016 10:58:04,-200,-200,-200,-78,-200,-200,-80,-200,-200,-200,-200,-200,-200
R06,10-18-2016 10:58:02,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200
Q06,10-18-2016 10:58:00,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
Q06,10-18-2016 10:57:58,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200
P06,10-18-2016 10:57:56,-200,-200,-200,-81,-200,-79,-200,-200,-200,-200,-200,-200,-200
P06,10-18-2016 10:57:54,-200,-200,-200,-81,-200,-78,-200,-200,-200,-200,-200,-200,-200
P06,10-18-2016 10:57:52,-200,-200,-200,-81,-200,-80,-200,-200,-200,-200,-200,-200,-200
P06,10-18-2016 10:57:50,-200,-200,-200,-81,-200,-80,-200,-200,-200,-200,-200,-200,-200
F08,10-18-2016 10:56:08,-68,-198,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
F08,10-18-2016 10:56:06,-68,-198,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J10,10-18-2016 10:55:24,-200,-200,-200,-200,-200,-200,-200,-61,-200,-200,-200,-200,-200
J10,10-18-2016 10:55:22,-200,-200,-200,-200,-77,-200,-200,-57,-200,-200,-200,-200,-200
E15,10-18-2016 10:55:12,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200
E15,10-18-2016 10:55:10,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200
G15,10-18-2016 10:55:08,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200
G15,10-18-2016 10:55:06,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200
J15,10-18-2016 10:55:04,-200,-200,-200,-200,-200,-200,-200,-200,-200,-64,-80,-200,-200
J15,10-18-2016 10:55:02,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-76,-200,-200
T15,10-18-2016 10:54:42,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78
T15,10-18-2016 10:54:40,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-83
J08,10-18-2016 10:53:22,-200,-84,-200,-200,-74,-200,-200,-80,-200,-200,-200,-200,-200
J08,10-18-2016 10:53:20,-200,-84,-200,-200,-74,-200,-200,-79,-200,-200,-200,-200,-200
J08,10-18-2016 10:53:18,-200,-84,-200,-200,-73,-200,-200,-76,-200,-200,-200,-200,-200
K01,10-18-2016 10:52:20,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
K02,10-18-2016 10:52:18,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
K02,10-18-2016 10:52:16,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
K02,10-18-2016 10:52:14,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
