location,date,b3001,b3002,b3003,b3004,b3005,b3006,b3007,b3008,b3009,b3010,b3011,b3012,b3013
O02,10-18-2016 11:15:21,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
P02,10-18-2016 11:15:07,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
U01,10-18-2016 11:13:55,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
R06,10-18-2016 10:58:06,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200
R06,10-18-2016 10:58:04,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200
R06,10-18-2016 10:58:02,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200
Q06,10-18-2016 10:58:00,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200
Q06,10-18-2016 10:57:58,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200
P06,10-18-2016 10:57:56,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200
P06,10-18-2016 10:57:54,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
P06,10-18-2016 10:57:52,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
P06,10-18-2016 10:57:50,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
F08,10-18-2016 10:56:08,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
F08,10-18-2016 10:56:06,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J10,10-18-2016 10:55:24,-200,-200,-200,-200,-200,-200,-200,-61,-200,-200,-200,-200,-200
J10,10-18-2016 10:55:22,-200,-200,-200,-200,-75,-200,-200,-60,-200,-200,-200,-200,-200
E15,10-18-2016 10:55:12,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200
E15,10-18-2016 10:55:10,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200
G15,10-18-2016 10:55:08,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200
G15,10-18-2016 10:55:06,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200
J15,10-18-2016 10:55:04,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200
J15,10-18-2016 10:55:02,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200
T15,10-18-2016 10:54:42,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75
T15,10-18-2016 10:54:40,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-80
J08,10-18-2016 10:53:22,-200,-82,-200,-200,-68,-200,-200,-69,-200,-200,-200,-200,-200
J08,10-18-2016 10:53:20,-200,-200,-200,-200,-74,-200,-200,-78,-200,-200,-200,-200,-200
J08,10-18-2016 10:53:18,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200
K01,10-18-2016 10:52:20,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
K02,10-18-2016 10:52:18,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
K02,10-18-2016 10:52:16,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
K02,10-18-2016 10:52:14,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
L01,10-18-2016 10:52:12,-200,-200,-86,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
L01,10-18-2016 10:52:10,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
L01,10-18-2016 10:52:08,-200,-79,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
O01,10-18-2016 10:51:12,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
O02,10-18-2016 10:51:10,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200
O02,10-18-2016 10:51:08,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200
I09,10-18-2016 10:50:42,-82,-200,-200,-200,-75,-200,-200,-66,-200,-200,-200,-200,-200
I09,10-18-2016 10:50:40,-200,-200,-200,-200,-75,-83,-200,-66,-200,-200,-200,-200,-200
I09,10-18-2016 10:50:38,-200,-200,-200,-200,-75,-200,-200,-61,-200,-200,-200,-200,-200
I09,10-18-2016 10:50:36,-200,-84,-200,-200,-200,-200,-200,-63,-200,-200,-200,-200,-200
K01,10-18-2016 10:50:22,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
K01,10-18-2016 10:50:20,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200
K02,10-18-2016 10:50:18,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
D14,10-18-2016 10:45:12,-200,-200,-200,-200,-200,-200,-200,-200,-64,-200,-200,-200,-200
D14,10-18-2016 10:45:09,-200,-200,-200,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200
D13,10-18-2016 10:45:06,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200
D13,10-18-2016 10:45:03,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200
D13,10-18-2016 10:45:00,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200
J08,10-18-2016 10:37:12,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
P15,10-18-2016 10:35:28,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200
P15,10-18-2016 10:35:26,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200
P15,10-18-2016 10:35:24,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200
I15,10-4-2016 10:58:27,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200
